종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
190620,ACE 단기통안채,2013/12/23,채권-국공채-단기,한국투자신탁운용,-0.31,KIS MSB 단기지수(총수익),0.05,131617799182,0.0,매우낮음,실물(패시브),0.07,배당소득세(보유기간과세)
494330,ACE 라이프자산주주가치액티브,2024/10/15,주식-전략-전략테마,한국투자신탁운용,0.0,FnGuide 기업가치 지수(시장가격),9.18,49956666061,0.23,보통,실물(액티브),0.5,배당소득세(보유기간과세)
265690,ACE 러시아MSCI(합성),2017/03/21,주식-시장대표,한국투자신탁운용,-9.63,MSCI Russia 25% Capped Price Return Index,0.43,90154965,17414.88,매우낮음,합성(패시브),0.0,배당소득세(보유기간과세)
152500,ACE 레버리지,2012/01/27,주식-시장대표,한국투자신탁운용,27.59,코스피 200,4.18,15418071138,0.11,매우높음,실물(패시브),0.3,배당소득세(보유기간과세)
483330,ACE 마이크로소프트밸류체인액티브,2024/06/11,주식-업종섹터-업종테마,한국투자신탁운용,33.81,KEDI 글로벌생성형AI 지수,9.81,19568317778,0.57,매우높음,실물(액티브),0.45,배당소득세(보유기간과세)
487340,ACE 머니마켓액티브,2024/07/09,채권-회사채-단기,한국투자신탁운용,3.44,MK-KAP 머니마켓 총수익지수,0.04,310544645947,0.01,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
291130,ACE 멕시코MSCI(합성),2018/03/09,주식-시장대표,한국투자신탁운용,7.99,MSCI MEXICO IMI 25/50 Price return Index,1.72,13370117901,-0.37,높음,합성(패시브),0.5,배당소득세(보유기간과세)
0085P0,ACE 미국10년국채액티브,2025/07/22,채권-국공채-장기,한국투자신탁운용,0.0,ICE U.S. Treasury 7-10 Year Bond Index (Total Return),1.4,8002558677,-0.23,낮음,실물(액티브),0.15,배당소득세(보유기간과세)
0085N0,ACE 미국10년국채액티브(H),2025/07/22,채권-국공채-장기,한국투자신탁운용,0.0,ICE U.S. Treasury 7-10 Year Bond Index (Total Return),1.46,8036129590,-0.05,매우낮음,실물(액티브),0.15,배당소득세(보유기간과세)
452250,ACE 미국30년국채선물레버리지(합성 H),2023/02/07,채권-국공채-장기,한국투자신탁운용,-16.74,S&P Ultra T-Bond Futures Index(ER),0.82,80012364374,-0.13,매우높음,합성(패시브),0.25,배당소득세(보유기간과세)
476760,ACE 미국30년국채액티브,2024/03/12,채권-국공채-장기,한국투자신탁운용,-8.02,Bloomberg U.S Treasury 20+ Year Total Return Index,2.79,275909971232,-0.37,보통,실물(액티브),0.05,배당소득세(보유기간과세)
453850,ACE 미국30년국채액티브(H),2023/03/14,채권-국공채-장기,한국투자신탁운용,-8.96,Bloomberg U.S Treasury 20+ Year Total Return Index,2.83,2265562948387,-0.14,보통,실물(액티브),0.05,배당소득세(보유기간과세)
476750,ACE 미국30년국채엔화노출액티브(H),2024/03/12,채권-국공채-장기,한국투자신탁운용,-8.89,Bloomberg U.S. Treasury 20+ Year Total Return Index T1530 JPY Currency Hedged,5.25,114656566750,-0.3,높음,실물(액티브),0.15,배당소득세(보유기간과세)
480030,ACE 미국500데일리타겟커버드콜(합성),2024/04/23,주식-전략-구조화,한국투자신탁운용,-1.87,Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index,0.69,158190360127,0.09,보통,합성(패시브),0.45,배당소득세(보유기간과세)
280320,ACE 미국IT인터넷S&P(합성 H),2017/10/17,주식-업종섹터-정보기술,한국투자신탁운용,36.94,다우존스 인터넷 종합지수,0.84,17063065789,-0.49,매우높음,합성(패시브),0.5,배당소득세(보유기간과세)
360200,ACE 미국S&P500,2020/08/07,주식-시장대표,한국투자신탁운용,17.55,S&P 500,0.12,2208698562239,0.46,높음,실물(패시브),0.004,배당소득세(보유기간과세)
438080,ACE 미국S&P500채권혼합액티브,2022/08/26,혼합자산-주식+채권,한국투자신탁운용,8.97,S&P500 and Short-Term Treasury 30/70 Blend Index,4.03,383167386264,0.05,낮음,실물(액티브),0.15,배당소득세(보유기간과세)
309230,ACE 미국WideMoat동일가중,2018/10/25,주식-전략-가치,한국투자신탁운용,10.19,MorningStar Wide Moat Focus Index,0.52,147730038493,0.11,높음,실물(패시브),0.4,배당소득세(보유기간과세)
367380,ACE 미국나스닥100,2020/10/29,주식-시장대표,한국투자신탁운용,23.02,NASDAQ 100,0.11,1655402453182,0.65,매우높음,실물(패시브),0.006,배당소득세(보유기간과세)
438100,ACE 미국나스닥100채권혼합액티브,2022/08/26,혼합자산-주식+채권,한국투자신탁운용,10.67,NASDAQ-100 US T-Bills 30/70 Index,5.41,227736025526,0.02,낮음,실물(액티브),0.15,배당소득세(보유기간과세)
456880,ACE 미국달러SOFR금리(합성),2023/04/25,기타,한국투자신탁운용,4.3,Solactive SOFR Daily Total Return Index,0.07,239795916520,-0.02,매우낮음,합성(패시브),0.05,배당소득세(보유기간과세)
440650,ACE 미국달러단기채권액티브,2022/08/23,채권-국공채-단기,한국투자신탁운용,3.79,Bloomberg Short-Term Treasury Total Return Index,0.49,17294652661,-0.17,매우낮음,실물(액티브),0.3,배당소득세(보유기간과세)
480040,ACE 미국반도체데일리타겟커버드콜(합성),2024/04/23,주식-전략-구조화,한국투자신탁운용,-9.79,Bloomberg US Listed Semiconductor Premium Decrement 15% Distribution Index,0.72,89789844539,0.1,매우높음,합성(패시브),0.45,배당소득세(보유기간과세)
402970,ACE 미국배당다우존스,2021/10/21,주식-전략-배당,한국투자신탁운용,0.16,Dow Jones U.S. Dividend 100 Price Return Index,0.44,647876607738,0.4,보통,실물(패시브),0.01,배당소득세(보유기간과세)
0046Y0,ACE 미국배당퀄리티,2025/05/13,주식-전략-배당,한국투자신탁운용,0.0,WisdomTree U.S. Quality Dividend Growth Index (Price Return),0.23,35713335385,0.26,낮음,실물(패시브),0.15,배당소득세(보유기간과세)
0049M0,ACE 미국배당퀄리티+커버드콜액티브,2025/05/13,주식-전략-구조화,한국투자신탁운용,0.0,Bloomberg WisdomTree U.S. Quality Dividend & B500 Premium Decrement 50:50 Index,5.44,25797604799,0.29,낮음,실물(액티브),0.15,배당소득세(보유기간과세)
0049K0,ACE 미국배당퀄리티채권혼합50,2025/05/13,혼합자산-주식+채권,한국투자신탁운용,0.0,Bloomberg WisdomTree U.S. Quality Dividend & Short Term KRW Bonds 50:50 TR Index,12.02,15607737614,0.14,매우낮음,실물(패시브),0.15,배당소득세(보유기간과세)
181480,ACE 미국부동산리츠(합성 H),2013/08/01,부동산-리츠,한국투자신탁운용,3.81,Dow Jones U.S. Real Estate Index,0.8,10080875677,0.15,높음,합성(패시브),0.3,배당소득세(분리과세부동산ETF)
480020,ACE 미국빅테크7+데일리타겟커버드콜(합성),2024/04/23,주식-전략-구조화,한국투자신탁운용,2.19,Bloomberg US Big Tech Top 7 Plus Premium Decrement 15% Distribution Index,0.7,179632120320,0.16,매우높음,합성(패시브),0.45,배당소득세(보유기간과세)
465580,ACE 미국빅테크TOP7 Plus,2023/09/12,주식-업종섹터-업종테마,한국투자신탁운용,30.07,Solactive US Big Tech Top 7 Plus Price Return Index,0.17,720793915437,0.59,매우높음,실물(패시브),0.3,배당소득세(보유기간과세)
465610,ACE 미국빅테크TOP7 Plus레버리지(합성),2023/09/12,주식-업종섹터-업종테마,한국투자신탁운용,47.41,Solactive US Big Tech Top 7 Plus Price Return Index,0.8,103993631006,1.07,매우높음,합성(패시브),0.6,배당소득세(보유기간과세)
465620,ACE 미국빅테크TOP7 Plus인버스(합성),2023/09/12,주식-업종섹터-업종테마,한국투자신탁운용,-29.56,Solactive US Big Tech Top 7 Plus Price Return Index,1.35,2264358915,-0.14,매우높음,합성(패시브),0.6,배당소득세(보유기간과세)
473590,ACE 미국주식베스트셀러,2023/12/27,주식-전략-전략테마,한국투자신탁운용,38.63,FnGuide 미국 주식 베스트셀러 지수(시장가격지수),0.67,79060055781,1.09,매우높음,실물(패시브),0.3,배당소득세(보유기간과세)
0008E0,ACE 미국중심중소형제조업,2025/01/21,주식-업종섹터-업종테마,한국투자신탁운용,0.0,NYSE FactSet US Focus Manufacturing Index(Price Return),0.43,9079373369,0.86,매우높음,실물(패시브),0.45,배당소득세(보유기간과세)
391600,ACE 미국친환경그린테마INDXX,2021/08/05,주식-전략-전략테마,한국투자신탁운용,3.2,Indxx US Green Infrastructure Price return Index,0.69,12684289912,-0.49,매우높음,실물(패시브),0.7,배당소득세(보유기간과세)
455660,ACE 미국하이일드액티브(H),2023/04/18,채권-회사채-중기,한국투자신탁운용,-1.04,Markit iBoxx USD Liquid High Yield Total Return Index,3.04,13883569355,0.44,매우낮음,실물(액티브),0.24,배당소득세(보유기간과세)
245710,ACE 베트남VN30(합성),2016/07/01,주식-시장대표,한국투자신탁운용,26.63,VN30 Index(PR),0.2,270926981651,0.46,보통,합성(패시브),0.7,배당소득세(보유기간과세)
131890,ACE 삼성그룹동일가중,2010/09/17,주식-전략-기업그룹,한국투자신탁운용,12.29,MKF SAMs EW 지수,0.6,10472240896,-0.31,높음,실물(패시브),0.15,비과세
108450,ACE 삼성그룹섹터가중,2009/02/03,주식-전략-기업그룹,한국투자신탁운용,4.3,MKF SAMs SW,0.35,49662521664,-0.42,높음,실물(패시브),0.15,비과세
316300,ACE 싱가포르리츠,2019/01/29,부동산-리츠,한국투자신탁운용,7.84,Morningstar Singapore REIT Yield Focus Index(PR),1.26,6550003401,1.34,보통,실물(패시브),0.4,배당소득세(분리과세부동산ETF)
277540,ACE 아시아TOP50S&P,2017/08/23,주식-시장대표,한국투자신탁운용,33.22,S&P ASIA50 Price Return Index,3.71,15683514544,0.13,매우높음,실물(패시브),0.7,배당소득세(보유기간과세)
483420,ACE 애플밸류체인액티브,2024/06/11,주식-업종섹터-업종테마,한국투자신탁운용,6.76,Bloomberg Top 30 Supply Chain Plus Apple Price Return Index,20.39,11972932287,0.79,매우높음,실물(액티브),0.45,배당소득세(보유기간과세)
483320,ACE 엔비디아밸류체인액티브,2024/06/11,주식-업종섹터-업종테마,한국투자신탁운용,11.71,KEDI 글로벌AI반도체 지수,13.57,123468099002,0.68,매우높음,실물(액티브),0.45,배당소득세(보유기간과세)
448540,ACE 엔비디아채권혼합블룸버그,2022/11/29,혼합자산-주식+채권,한국투자신탁운용,20.64,Bloomberg Blended NVIDIA Equity and Korean Bond Index,6.84,208232054257,0.42,높음,실물(패시브),0.07,배당소득세(보유기간과세)
433500,ACE 원자력테마딥서치,2022/06/28,주식-업종섹터-업종테마,한국투자신탁운용,85.74,DeepSearch 원자력테마 지수 (시장가격지수),2.28,65384767252,0.02,매우높음,실물(패시브),0.3,비과세
256440,ACE 인도네시아MSCI(합성),2016/11/01,주식-시장대표,한국투자신탁운용,-13.39,MSCI Indonesia Index,0.16,29728905141,0.54,높음,합성(패시브),0.7,배당소득세(보유기간과세)
487920,ACE 인도시장대표BIG5그룹액티브,2024/09/10,주식-전략-기업그룹,한국투자신탁운용,0.0,Indxx India Big 5 Conglomerates Index (Price Return),4.66,11013663364,0.33,보통,실물(액티브),0.45,배당소득세(보유기간과세)
487910,ACE 인도컨슈머파워액티브,2024/09/10,주식-업종섹터-업종테마,한국투자신탁운용,0.0,Indxx India Super Consumption Index (Price Return),7.25,52617163419,-0.46,높음,실물(액티브),0.45,배당소득세(보유기간과세)
145670,ACE 인버스,2011/09/08,주식-시장대표,한국투자신탁운용,-15.2,코스피 200 선물지수,0.29,2176735502,-0.08,높음,실물(패시브),0.15,배당소득세(보유기간과세)
497520,ACE 일라이릴리밸류체인,2024/11/19,주식-업종섹터-업종테마,한국투자신탁운용,0.0,Solactive Eli Lilly Value Chain Index(PR),3.09,8528286708,-0.19,높음,실물(패시브),0.45,배당소득세(보유기간과세)
238720,ACE 일본Nikkei225(H),2016/03/03,주식-시장대표,한국투자신탁운용,10.58,Nikkei 225,1.48,26688433944,-0.77,매우높음,실물(패시브),0.3,배당소득세(해외주식투자전용ETF)
196030,ACE 일본TOPIX레버리지(H),2014/06/16,주식-시장대표,한국투자신탁운용,11.03,TOPIX,8.57,23898801522,-1.24,매우높음,실물(패시브),0.5,배당소득세(보유기간과세)
205720,ACE 일본TOPIX인버스(합성 H),2014/09/29,주식-시장대표,한국투자신탁운용,-16.6,TOPIX,1.55,6544326341,0.16,매우높음,합성(패시브),0.5,배당소득세(보유기간과세)
469160,ACE 일본반도체,2023/10/17,주식-업종섹터-업종테마,한국투자신탁운용,0.46,Bloomberg Japan Semiconductor Select Top 25 Index(Price Return),1.03,4883921806,-1.43,매우높음,실물(패시브),0.45,배당소득세(보유기간과세)
0021C0,ACE 장기자산배분액티브,2025/03/11,혼합자산-주식+채권,한국투자신탁운용,0.0,Bloomberg Multi Asset Target-date 2080 KRW Index,27.08,10759433665,0.38,높음,실물(액티브),0.4,배당소득세(보유기간과세)
356540,ACE 종합채권(AA-이상)KIS액티브,2020/07/21,채권-혼합-중기,한국투자신탁운용,5.08,KIS 종합채권 AA-이상 총수익 지수(Total return Index),0.23,877079901243,-0.01,매우낮음,실물(액티브),0.02,배당소득세(보유기간과세)
447430,ACE 주주환원가치주액티브,2022/11/15,주식-전략-가치,한국투자신탁운용,36.08,FnGuide 올라운드 가치주 지수,11.37,73376102520,0.37,보통,실물(액티브),0.7,배당소득세(보유기간과세)
416090,ACE 중국과창판STAR50,2022/01/13,주식-시장대표,한국투자신탁운용,45.12,STAR 50 Index(Price Return),2.39,7147143565,-2.6,매우높음,실물(패시브),0.5,배당소득세(보유기간과세)
168580,ACE 중국본토CSI300,2012/11/29,주식-시장대표,한국투자신탁운용,25.05,CSI 300 Index,3.88,111139249694,-0.59,높음,실물(패시브),0.7,배당소득세(해외주식투자전용ETF)
219900,ACE 중국본토CSI300레버리지(합성),2015/05/28,주식-시장대표,한국투자신탁운용,36.36,CSI 300 Index,4.29,6555117499,-1.6,매우높음,합성(패시브),0.5,배당소득세(보유기간과세)
272910,ACE 중장기국공채액티브,2017/06/29,채권-국공채-중기,한국투자신탁운용,4.68,KIS 종합채권국공채1-10Y지수,0.14,61010580496,-0.05,매우낮음,실물(액티브),0.08,배당소득세(보유기간과세)
371870,ACE 차이나항셍테크,2020/12/16,주식-업종섹터-업종테마,한국투자신탁운용,61.4,Hang Seng TECH Index,0.68,15137052785,-1.06,매우높음,실물(패시브),0.25,배당소득세(보유기간과세)
496120,ACE 코리아밸류업,2024/11/04,주식-시장대표,한국투자신탁운용,0.0,코리아 밸류업 지수,0.97,11493530621,-0.36,높음,실물(패시브),0.09,비과세
354500,ACE 코스닥150,2020/05/07,주식-시장대표,한국투자신탁운용,1.96,코스닥 150,0.2,24494148884,-0.39,매우높음,실물(패시브),0.02,비과세
305050,ACE 코스피,2018/10/05,주식-시장대표,한국투자신탁운용,17.53,코스피,0.64,13286459830,-0.38,높음,실물(패시브),0.02,비과세
457480,ACE 테슬라밸류체인액티브,2023/05/16,주식-업종섹터-업종테마,한국투자신탁운용,35.64,Bloomberg EV Supporters Plus Tesla Price Return Index,33.09,919516010917,0.58,매우높음,실물(액티브),0.29,배당소득세(보유기간과세)
469170,ACE 포스코그룹포커스,2023/10/17,주식-전략-기업그룹,한국투자신탁운용,-8.52,FnGuide 포스코그룹포커스 지수(시장가격),1.0,68390693320,-0.05,매우높음,실물(패시브),0.3,비과세
261920,ACE 필리핀MSCI(합성),2016/12/28,주식-시장대표,한국투자신탁운용,1.92,MSCI Philippines IMI Index,0.13,5540741268,-0.41,높음,합성(패시브),0.5,배당소득세(보유기간과세)
495710,BNK 26-06 특수채(AAA이상)액티브,2024/12/03,채권-국공채-단기,비엔케이자산운용,0.0,KAP 26-06 특수채 총수익 지수(AAA이상),0.1,108061125675,0.03,매우낮음,실물(액티브),0.1,배당소득세(보유기간과세)
466810,BNK 2차전지양극재,2023/10/19,주식-업종섹터-업종테마,비엔케이자산운용,-25.1,iSelect 2차전지양극재 지수,0.55,4904370986,0.11,매우높음,실물(패시브),0.395,비과세
457930,BNK 미래전략기술액티브,2023/06/20,주식-업종섹터-업종테마,비엔케이자산운용,36.54,iSelect 미래전략기술 지수 (PR),0.72,8859357010,-0.41,높음,실물(액티브),0.495,배당소득세(보유기간과세)
487750,BNK 온디바이스AI,2024/07/23,주식-업종섹터-업종테마,비엔케이자산운용,-4.59,FnGuide 온디바이스AI 지수,0.52,4773628179,-0.68,매우높음,실물(패시브),0.395,비과세
445690,BNK 주주가치액티브,2022/10/27,주식-전략-전략테마,비엔케이자산운용,26.58,FnGuide 주주가치 지수,5.84,19728051262,0.25,높음,실물(액티브),0.495,배당소득세(보유기간과세)
486240,DAISHIN343 AI반도체&인프라액티브,2024/06/18,주식-업종섹터-업종테마,대신자산운용,5.46,FnGuide AI반도체&인프라 지수,4.6,16607023227,-0.19,매우높음,실물(액티브),0.36,배당소득세(보유기간과세)
434960,DAISHIN343 K200,2022/06/28,주식-시장대표,대신자산운용,16.19,코스피 200,0.77,39624827869,-0.26,높음,실물(패시브),0.1,비과세
448570,FOCUS AI코리아액티브,2022/11/15,주식-시장대표,브이아이자산운용,19.17,코스피,5.64,38908181519,-0.38,높음,실물(액티브),0.455,배당소득세(보유기간과세)
285690,FOCUS ESG리더스,2017/12/13,주식-전략-전략테마,브이아이자산운용,21.93,KRX ESG Leaders 150,0.76,12448796589,-0.3,높음,실물(패시브),0.1,비과세
292730,FOCUS KRX300,2018/03/26,주식-시장대표,브이아이자산운용,15.33,KRX 300,0.71,4194209232,-0.29,높음,실물(패시브),0.1,비과세
